Customer ID,Age,Age Group,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
618,50,46-55,Male,Backpack,Accessories,$57.00 ,Colorado,Maroon,Fall,2.6,Yes,Standard,Yes,Yes,2,Bank Transfer,Quarterly
619,61,56-65,Male,Jacket,Outerwear,$94.00 ,Indiana,Cyan,Spring,4,Yes,Express,Yes,Yes,21,Debit Card,Bi-Weekly
620,19,18-25,Male,Backpack,Accessories,$34.00 ,Nebraska,Charcoal,Summer,4.6,Yes,Store Pickup,Yes,Yes,1,Debit Card,Every 3 Months
621,33,26-35,Male,Backpack,Accessories,$89.00 ,Rhode Island,Black,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,10,Venmo,Every 3 Months
622,51,46-55,Male,Sunglasses,Accessories,$27.00 ,Kansas,Red,Fall,4.4,Yes,Store Pickup,Yes,Yes,45,Credit Card,Weekly
623,69,65+,Male,Socks,Clothing,$63.00 ,Georgia,Peach,Spring,4,Yes,Next Day Air,Yes,Yes,44,Bank Transfer,Fortnightly
624,19,18-25,Male,Shoes,Footwear,$70.00 ,Nevada,White,Fall,4.7,Yes,Standard,Yes,Yes,48,PayPal,Bi-Weekly
625,55,46-55,Male,Pants,Clothing,$87.00 ,South Carolina,Pink,Fall,3.4,Yes,Express,Yes,Yes,21,PayPal,Annually
626,49,46-55,Male,Jewelry,Accessories,$79.00 ,Delaware,Red,Fall,4,Yes,Next Day Air,Yes,Yes,1,Venmo,Weekly
627,31,26-35,Male,Sunglasses,Accessories,$79.00 ,New Hampshire,Indigo,Spring,3.9,Yes,Standard,Yes,Yes,10,Venmo,Annually
628,42,36-45,Male,Sandals,Footwear,$44.00 ,Oregon,Black,Winter,4.1,Yes,Express,Yes,Yes,24,PayPal,Monthly
629,69,65+,Male,Sweater,Clothing,$85.00 ,Massachusetts,White,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,29,Credit Card,Monthly
630,26,26-35,Male,Shoes,Footwear,$90.00 ,Vermont,Beige,Spring,4.7,Yes,Standard,Yes,Yes,11,Debit Card,Annually
631,41,36-45,Male,Jewelry,Accessories,$94.00 ,Mississippi,Silver,Fall,4.3,Yes,2-Day Shipping,Yes,Yes,33,Debit Card,Annually
632,55,46-55,Male,Boots,Footwear,$68.00 ,Washington,Violet,Summer,4.1,Yes,Store Pickup,Yes,Yes,27,Cash,Fortnightly
633,35,26-35,Male,Backpack,Accessories,$51.00 ,Wyoming,Red,Winter,3.9,Yes,Next Day Air,Yes,Yes,19,Venmo,Fortnightly
634,66,65+,Male,Sandals,Footwear,$33.00 ,Minnesota,Orange,Spring,2.9,Yes,Express,Yes,Yes,50,Debit Card,Quarterly
635,36,36-45,Male,Sneakers,Footwear,$60.00 ,Ohio,Teal,Summer,3.9,Yes,Standard,Yes,Yes,46,PayPal,Weekly
636,27,26-35,Male,Hoodie,Clothing,$59.00 ,South Carolina,Brown,Fall,4.3,Yes,2-Day Shipping,Yes,Yes,28,Cash,Quarterly
637,41,36-45,Male,Handbag,Accessories,$30.00 ,Wisconsin,Indigo,Summer,2.8,Yes,Store Pickup,Yes,Yes,14,Bank Transfer,Every 3 Months
638,21,18-25,Male,Sweater,Clothing,$20.00 ,Tennessee,Cyan,Winter,3.4,Yes,2-Day Shipping,Yes,Yes,46,Cash,Fortnightly
639,53,46-55,Male,Sandals,Footwear,$20.00 ,Maryland,Blue,Summer,2.7,Yes,Express,Yes,Yes,41,PayPal,Monthly
640,54,46-55,Male,Dress,Clothing,$24.00 ,Mississippi,Olive,Spring,4,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Annually
641,53,46-55,Male,Skirt,Clothing,$88.00 ,Minnesota,Gray,Summer,4.4,Yes,Store Pickup,Yes,Yes,28,Debit Card,Fortnightly
642,47,46-55,Male,Blouse,Clothing,$78.00 ,Alaska,Red,Winter,3.9,Yes,2-Day Shipping,Yes,Yes,23,Credit Card,Every 3 Months
643,64,56-65,Male,Skirt,Clothing,$25.00 ,Arkansas,Red,Spring,2.8,Yes,2-Day Shipping,Yes,Yes,14,Debit Card,Bi-Weekly
644,18,18-25,Male,Sweater,Clothing,$57.00 ,Oregon,Green,Winter,3.2,Yes,Next Day Air,Yes,Yes,10,Bank Transfer,Every 3 Months
645,68,65+,Male,Backpack,Accessories,$93.00 ,Louisiana,Blue,Summer,4.3,Yes,Next Day Air,Yes,Yes,37,Cash,Weekly
646,62,56-65,Male,Hoodie,Clothing,$42.00 ,Oklahoma,Purple,Summer,4.2,Yes,Express,Yes,Yes,15,Venmo,Bi-Weekly
647,51,46-55,Male,Boots,Footwear,$54.00 ,Indiana,Pink,Spring,4.9,Yes,Standard,Yes,Yes,19,Venmo,Bi-Weekly
648,54,46-55,Male,Blouse,Clothing,$70.00 ,Mississippi,Charcoal,Summer,3.7,Yes,Express,Yes,Yes,23,Credit Card,Fortnightly
649,22,18-25,Male,Hoodie,Clothing,$31.00 ,Michigan,Brown,Winter,4.1,Yes,Store Pickup,Yes,Yes,35,Credit Card,Weekly
650,53,46-55,Male,Pants,Clothing,$93.00 ,Delaware,Orange,Spring,4.2,Yes,Store Pickup,Yes,Yes,33,PayPal,Every 3 Months
651,34,26-35,Male,Gloves,Accessories,$40.00 ,Florida,Magenta,Spring,3.9,Yes,Next Day Air,Yes,Yes,12,Bank Transfer,Annually
652,32,26-35,Male,Hat,Accessories,$32.00 ,Arkansas,Yellow,Summer,2.9,Yes,Next Day Air,Yes,Yes,41,Venmo,Fortnightly
653,64,56-65,Male,Sunglasses,Accessories,$27.00 ,Minnesota,Beige,Winter,3.1,Yes,Free Shipping,Yes,Yes,27,Venmo,Weekly
654,20,18-25,Male,Scarf,Accessories,$68.00 ,North Dakota,Olive,Winter,3.6,Yes,2-Day Shipping,Yes,Yes,45,Cash,Fortnightly
655,24,18-25,Male,Handbag,Accessories,$59.00 ,California,Gray,Summer,4.4,Yes,2-Day Shipping,Yes,Yes,23,Venmo,Annually
656,20,18-25,Male,Handbag,Accessories,$36.00 ,Mississippi,Purple,Fall,3.1,Yes,Free Shipping,Yes,Yes,19,Venmo,Monthly
657,42,36-45,Male,Jeans,Clothing,$23.00 ,Pennsylvania,Beige,Summer,3.9,Yes,Standard,Yes,Yes,6,PayPal,Quarterly
658,48,46-55,Male,Jacket,Outerwear,$80.00 ,Arizona,White,Winter,4.3,Yes,Free Shipping,Yes,Yes,6,PayPal,Quarterly
659,62,56-65,Male,Backpack,Accessories,$37.00 ,Louisiana,White,Fall,4.9,Yes,Store Pickup,Yes,Yes,20,Venmo,Weekly
660,62,56-65,Male,Shorts,Clothing,$52.00 ,Virginia,Gold,Spring,3.6,Yes,2-Day Shipping,Yes,Yes,8,Cash,Weekly
661,50,46-55,Male,Coat,Outerwear,$79.00 ,Montana,Olive,Fall,5,Yes,2-Day Shipping,Yes,Yes,39,Credit Card,Quarterly
662,57,56-65,Male,Shirt,Clothing,$68.00 ,Iowa,Green,Fall,4.1,Yes,Store Pickup,Yes,Yes,39,Credit Card,Quarterly
663,24,18-25,Male,Gloves,Accessories,$98.00 ,Illinois,Magenta,Fall,2.8,Yes,Express,Yes,Yes,39,Venmo,Bi-Weekly
664,59,56-65,Male,Dress,Clothing,$83.00 ,Alaska,Charcoal,Fall,4.7,Yes,Express,Yes,Yes,23,Credit Card,Monthly
665,63,56-65,Male,Pants,Clothing,$83.00 ,Colorado,Indigo,Winter,4.4,Yes,Express,Yes,Yes,41,PayPal,Bi-Weekly
666,41,36-45,Male,Pants,Clothing,$55.00 ,New Mexico,Peach,Spring,4.9,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Annually
667,35,26-35,Male,Hoodie,Clothing,$26.00 ,Colorado,Turquoise,Winter,3.1,Yes,Free Shipping,Yes,Yes,30,Debit Card,Quarterly
668,34,26-35,Male,Sunglasses,Accessories,$76.00 ,Arizona,Blue,Winter,2.6,Yes,Standard,Yes,Yes,32,Bank Transfer,Quarterly
669,49,46-55,Male,T-shirt,Clothing,$85.00 ,Hawaii,Turquoise,Fall,2.9,Yes,Express,Yes,Yes,35,Bank Transfer,Monthly
670,43,36-45,Male,Jacket,Outerwear,$89.00 ,Illinois,Gray,Spring,3.3,Yes,Free Shipping,Yes,Yes,45,Venmo,Bi-Weekly
671,63,56-65,Male,Sweater,Clothing,$41.00 ,Louisiana,Purple,Spring,4.8,Yes,Next Day Air,Yes,Yes,37,Cash,Bi-Weekly
672,38,36-45,Male,Jacket,Outerwear,$30.00 ,Iowa,Black,Winter,4.7,Yes,Express,Yes,Yes,45,Cash,Weekly
673,59,56-65,Male,Socks,Clothing,$53.00 ,Washington,Peach,Winter,3.3,Yes,2-Day Shipping,Yes,Yes,29,Cash,Quarterly
674,35,26-35,Male,Shirt,Clothing,$66.00 ,Oklahoma,Indigo,Spring,4.2,Yes,Free Shipping,Yes,Yes,27,Venmo,Bi-Weekly
675,48,46-55,Male,Jewelry,Accessories,$33.00 ,Washington,Beige,Winter,4.7,Yes,Store Pickup,Yes,Yes,36,Bank Transfer,Annually
676,64,56-65,Male,Sunglasses,Accessories,$86.00 ,Arkansas,Yellow,Spring,2.6,Yes,2-Day Shipping,Yes,Yes,9,Cash,Annually
677,28,26-35,Male,Pants,Clothing,$60.00 ,Connecticut,Peach,Winter,2.9,Yes,2-Day Shipping,Yes,Yes,38,Venmo,Bi-Weekly
678,60,56-65,Male,Socks,Clothing,$62.00 ,Washington,Turquoise,Summer,2.7,Yes,Express,Yes,Yes,41,PayPal,Annually
679,27,26-35,Male,Blouse,Clothing,$74.00 ,Maine,Teal,Fall,3.3,Yes,Store Pickup,Yes,Yes,25,Debit Card,Every 3 Months
680,56,56-65,Male,Sandals,Footwear,$95.00 ,Michigan,Turquoise,Fall,3.4,Yes,Express,Yes,Yes,37,Venmo,Fortnightly
681,58,56-65,Male,Sneakers,Footwear,$25.00 ,Tennessee,Magenta,Spring,4.2,Yes,Express,Yes,Yes,3,PayPal,Annually
682,30,26-35,Male,Shirt,Clothing,$59.00 ,Louisiana,Purple,Winter,3.8,Yes,2-Day Shipping,Yes,Yes,24,Credit Card,Every 3 Months
683,23,18-25,Male,Jacket,Outerwear,$29.00 ,Missouri,Brown,Summer,4,Yes,Standard,Yes,Yes,49,Credit Card,Bi-Weekly
684,33,26-35,Male,Sandals,Footwear,$36.00 ,Michigan,Violet,Winter,2.7,Yes,Free Shipping,Yes,Yes,3,Bank Transfer,Monthly
685,63,56-65,Male,Hat,Accessories,$82.00 ,Alabama,Yellow,Summer,4.7,Yes,Express,Yes,Yes,42,Debit Card,Monthly
686,70,65+,Male,Blouse,Clothing,$71.00 ,Massachusetts,Magenta,Winter,3.5,Yes,Standard,Yes,Yes,32,Cash,Fortnightly
687,70,65+,Male,Sweater,Clothing,$35.00 ,Indiana,Beige,Fall,3,Yes,2-Day Shipping,Yes,Yes,33,Venmo,Fortnightly
688,19,18-25,Male,Gloves,Accessories,$38.00 ,West Virginia,Turquoise,Winter,3.3,Yes,Free Shipping,Yes,Yes,46,Bank Transfer,Quarterly
689,25,18-25,Male,Scarf,Accessories,$59.00 ,Michigan,Peach,Summer,4.7,Yes,Store Pickup,Yes,Yes,44,Venmo,Monthly
690,19,18-25,Male,Hoodie,Clothing,$91.00 ,Pennsylvania,Orange,Summer,4.7,Yes,Express,Yes,Yes,35,Credit Card,Every 3 Months
691,25,18-25,Male,Shorts,Clothing,$68.00 ,Alaska,Red,Spring,4.8,Yes,Standard,Yes,Yes,45,Bank Transfer,Weekly
692,60,56-65,Male,Backpack,Accessories,$21.00 ,Massachusetts,Silver,Summer,2.9,Yes,Standard,Yes,Yes,37,PayPal,Bi-Weekly
693,35,26-35,Male,Sunglasses,Accessories,$95.00 ,North Dakota,Cyan,Spring,4,Yes,2-Day Shipping,Yes,Yes,40,Debit Card,Every 3 Months
694,46,46-55,Male,Shorts,Clothing,$52.00 ,Vermont,Turquoise,Spring,3.1,Yes,Free Shipping,Yes,Yes,30,Cash,Every 3 Months
695,41,36-45,Male,Dress,Clothing,$21.00 ,Kentucky,Charcoal,Fall,3.5,Yes,2-Day Shipping,Yes,Yes,38,Venmo,Every 3 Months
696,30,26-35,Male,Shorts,Clothing,$67.00 ,Nevada,Peach,Summer,3.7,Yes,Next Day Air,Yes,Yes,15,Debit Card,Every 3 Months
697,44,36-45,Male,Belt,Accessories,$42.00 ,Utah,Green,Fall,2.8,Yes,Standard,Yes,Yes,49,Cash,Monthly
698,61,56-65,Male,Scarf,Accessories,$63.00 ,North Dakota,Brown,Summer,4.6,Yes,Free Shipping,Yes,Yes,40,Debit Card,Quarterly
699,55,46-55,Male,Boots,Footwear,$41.00 ,Iowa,Yellow,Winter,3.8,Yes,Standard,Yes,Yes,40,Debit Card,Weekly
700,50,46-55,Male,Handbag,Accessories,$46.00 ,Connecticut,Charcoal,Fall,2.6,Yes,2-Day Shipping,Yes,Yes,5,PayPal,Weekly
701,57,56-65,Male,Pants,Clothing,$79.00 ,Wisconsin,Olive,Winter,4.1,Yes,Standard,Yes,Yes,5,PayPal,Monthly
702,51,46-55,Male,Boots,Footwear,$90.00 ,Idaho,Red,Fall,3.3,Yes,Next Day Air,Yes,Yes,5,Debit Card,Every 3 Months
703,18,18-25,Male,Shirt,Clothing,$71.00 ,Montana,White,Winter,3.4,Yes,Store Pickup,Yes,Yes,1,Cash,Weekly
704,63,56-65,Male,Dress,Clothing,$87.00 ,Connecticut,Pink,Summer,3,Yes,Standard,Yes,Yes,21,Venmo,Weekly
705,34,26-35,Male,Hoodie,Clothing,$66.00 ,Idaho,Black,Spring,3.2,Yes,Express,Yes,Yes,18,PayPal,Annually
706,25,18-25,Male,Pants,Clothing,$90.00 ,Arkansas,Indigo,Summer,4.5,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly
707,46,46-55,Male,Jeans,Clothing,$47.00 ,Iowa,Turquoise,Summer,4.8,Yes,Express,Yes,Yes,27,Debit Card,Weekly
708,59,56-65,Male,Shirt,Clothing,$38.00 ,Louisiana,Purple,Spring,3.7,Yes,Next Day Air,Yes,Yes,21,Venmo,Annually
709,37,36-45,Male,Backpack,Accessories,$50.00 ,Kentucky,Beige,Summer,3.4,Yes,Store Pickup,Yes,Yes,19,Cash,Fortnightly
710,49,46-55,Male,Jacket,Outerwear,$79.00 ,Massachusetts,Charcoal,Summer,4.6,Yes,Standard,Yes,Yes,23,Debit Card,Monthly
711,22,18-25,Male,Scarf,Accessories,$91.00 ,Virginia,Turquoise,Spring,4.1,Yes,Standard,Yes,Yes,26,PayPal,Fortnightly
712,64,56-65,Male,Boots,Footwear,$60.00 ,New Hampshire,Maroon,Spring,3.5,Yes,2-Day Shipping,Yes,Yes,13,Bank Transfer,Bi-Weekly
713,42,36-45,Male,Blouse,Clothing,$81.00 ,New Hampshire,Black,Summer,3.8,Yes,Next Day Air,Yes,Yes,36,Bank Transfer,Quarterly
714,37,36-45,Male,Hoodie,Clothing,$90.00 ,Oregon,Lavender,Summer,2.6,Yes,Express,Yes,Yes,39,Bank Transfer,Bi-Weekly
715,26,26-35,Male,Jacket,Outerwear,$70.00 ,South Dakota,Magenta,Fall,4.4,Yes,Store Pickup,Yes,Yes,40,Debit Card,Fortnightly
716,33,26-35,Male,Jeans,Clothing,$63.00 ,Delaware,Green,Spring,2.6,Yes,Express,Yes,Yes,37,Debit Card,Quarterly
717,30,26-35,Male,Jewelry,Accessories,$29.00 ,Missouri,Olive,Spring,3.6,Yes,Express,Yes,Yes,9,Venmo,Bi-Weekly
718,21,18-25,Male,Socks,Clothing,$90.00 ,Alaska,Green,Spring,4.2,Yes,Express,Yes,Yes,7,Venmo,Every 3 Months
719,22,18-25,Male,Shirt,Clothing,$22.00 ,Florida,Peach,Summer,4.6,Yes,Standard,Yes,Yes,25,Bank Transfer,Annually
720,63,56-65,Male,Shorts,Clothing,$22.00 ,Mississippi,Turquoise,Summer,3.3,Yes,Next Day Air,Yes,Yes,42,Venmo,Bi-Weekly
721,33,26-35,Male,Jewelry,Accessories,$62.00 ,New Mexico,Orange,Fall,3.4,Yes,Free Shipping,Yes,Yes,19,Debit Card,Weekly
722,43,36-45,Male,Blouse,Clothing,$57.00 ,California,Silver,Summer,4.4,Yes,Next Day Air,Yes,Yes,41,Debit Card,Every 3 Months
723,27,26-35,Male,Sweater,Clothing,$32.00 ,Wyoming,Blue,Summer,4.3,Yes,Store Pickup,Yes,Yes,50,Cash,Bi-Weekly
724,35,26-35,Male,Jewelry,Accessories,$53.00 ,Missouri,Cyan,Fall,3.5,Yes,Express,Yes,Yes,43,PayPal,Monthly
725,37,36-45,Male,T-shirt,Clothing,$79.00 ,New Hampshire,Green,Fall,4.7,Yes,Store Pickup,Yes,Yes,36,Venmo,Every 3 Months
726,61,56-65,Male,Hat,Accessories,$61.00 ,Texas,Silver,Winter,3.1,Yes,Standard,Yes,Yes,33,Debit Card,Fortnightly
727,32,26-35,Male,Shorts,Clothing,$78.00 ,North Dakota,Yellow,Summer,3.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Every 3 Months
728,62,56-65,Male,Sweater,Clothing,$97.00 ,Arkansas,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,37,Venmo,Every 3 Months
729,29,26-35,Male,Jeans,Clothing,$78.00 ,Nebraska,Pink,Winter,3.7,Yes,Next Day Air,Yes,Yes,12,PayPal,Every 3 Months
730,41,36-45,Male,Sunglasses,Accessories,$56.00 ,Minnesota,Beige,Summer,3.2,Yes,Express,Yes,Yes,46,PayPal,Every 3 Months
731,48,46-55,Male,Boots,Footwear,$25.00 ,Massachusetts,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,28,Venmo,Fortnightly
732,43,36-45,Male,Coat,Outerwear,$28.00 ,Arkansas,Red,Spring,3.5,Yes,Free Shipping,Yes,Yes,30,PayPal,Fortnightly
733,34,26-35,Male,Shirt,Clothing,$57.00 ,New Hampshire,Blue,Spring,2.8,Yes,Express,Yes,Yes,28,Cash,Bi-Weekly
734,45,36-45,Male,Dress,Clothing,$36.00 ,Rhode Island,Cyan,Fall,2.7,Yes,2-Day Shipping,Yes,Yes,20,Debit Card,Bi-Weekly
735,65,56-65,Male,Shirt,Clothing,$69.00 ,New Jersey,Violet,Winter,3.1,Yes,Express,Yes,Yes,39,Bank Transfer,Every 3 Months
736,61,56-65,Male,Sunglasses,Accessories,$48.00 ,Montana,Orange,Fall,3.6,Yes,2-Day Shipping,Yes,Yes,48,Cash,Bi-Weekly
737,18,18-25,Male,Dress,Clothing,$58.00 ,Colorado,Maroon,Spring,2.9,Yes,2-Day Shipping,Yes,Yes,32,Credit Card,Every 3 Months
738,47,46-55,Male,Sunglasses,Accessories,$24.00 ,Nebraska,Teal,Spring,3.6,Yes,Store Pickup,Yes,Yes,28,PayPal,Annually
739,56,56-65,Male,Sunglasses,Accessories,$31.00 ,Minnesota,Orange,Winter,3.5,Yes,2-Day Shipping,Yes,Yes,27,Venmo,Quarterly
740,64,56-65,Male,Shorts,Clothing,$29.00 ,Minnesota,Purple,Summer,3.5,Yes,Free Shipping,Yes,Yes,26,Venmo,Bi-Weekly
741,26,26-35,Male,Jeans,Clothing,$69.00 ,South Dakota,Orange,Summer,2.8,Yes,Next Day Air,Yes,Yes,22,Credit Card,Fortnightly
742,22,18-25,Male,T-shirt,Clothing,$79.00 ,West Virginia,Yellow,Summer,4.7,Yes,Free Shipping,Yes,Yes,23,Bank Transfer,Every 3 Months
743,64,56-65,Male,Pants,Clothing,$39.00 ,Nevada,Charcoal,Summer,3.1,Yes,Express,Yes,Yes,21,Debit Card,Quarterly
744,21,18-25,Male,Sunglasses,Accessories,$84.00 ,North Carolina,Gray,Fall,4.9,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly
745,67,65+,Male,Boots,Footwear,$66.00 ,Illinois,Charcoal,Spring,4.1,Yes,Next Day Air,Yes,Yes,42,Debit Card,Bi-Weekly
746,46,46-55,Male,T-shirt,Clothing,$92.00 ,Michigan,Orange,Fall,4.7,Yes,Standard,Yes,Yes,4,Venmo,Monthly
747,40,36-45,Male,Sandals,Footwear,$45.00 ,Michigan,Red,Winter,2.5,Yes,Free Shipping,Yes,Yes,47,Credit Card,Annually
748,51,46-55,Male,Shorts,Clothing,$74.00 ,Oklahoma,Gold,Spring,4.4,Yes,Next Day Air,Yes,Yes,13,Bank Transfer,Weekly
749,35,26-35,Male,Hat,Accessories,$39.00 ,South Dakota,Brown,Fall,3.9,Yes,Free Shipping,Yes,Yes,8,Bank Transfer,Quarterly
750,56,56-65,Male,Scarf,Accessories,$71.00 ,Oklahoma,Olive,Winter,3.7,Yes,Standard,Yes,Yes,11,Debit Card,Quarterly
751,25,18-25,Male,T-shirt,Clothing,$95.00 ,Maryland,Violet,Fall,3.4,Yes,Free Shipping,Yes,Yes,5,Venmo,Annually
752,65,56-65,Male,Gloves,Accessories,$72.00 ,Ohio,Indigo,Fall,4.8,Yes,Free Shipping,Yes,Yes,1,Credit Card,Monthly
753,39,36-45,Male,Scarf,Accessories,$85.00 ,Ohio,Yellow,Fall,4.2,Yes,2-Day Shipping,Yes,Yes,17,PayPal,Every 3 Months
754,47,46-55,Male,Boots,Footwear,$54.00 ,Massachusetts,Teal,Fall,3.4,Yes,Store Pickup,Yes,Yes,27,Venmo,Quarterly
755,36,36-45,Male,Gloves,Accessories,$41.00 ,North Carolina,Pink,Spring,2.9,Yes,Store Pickup,Yes,Yes,3,Debit Card,Quarterly
756,66,65+,Male,Coat,Outerwear,$24.00 ,Florida,Violet,Spring,3.3,Yes,Free Shipping,Yes,Yes,22,PayPal,Weekly
757,62,56-65,Male,Belt,Accessories,$99.00 ,Montana,Orange,Summer,4.8,Yes,Standard,Yes,Yes,24,Cash,Fortnightly
758,41,36-45,Male,Hoodie,Clothing,$32.00 ,Minnesota,Red,Fall,3.8,Yes,Store Pickup,Yes,Yes,18,Debit Card,Quarterly
759,66,65+,Male,Shoes,Footwear,$71.00 ,Massachusetts,Peach,Summer,4.6,Yes,2-Day Shipping,Yes,Yes,39,Bank Transfer,Every 3 Months
760,51,46-55,Male,Dress,Clothing,$49.00 ,Rhode Island,Green,Winter,2.6,Yes,Next Day Air,Yes,Yes,25,Credit Card,Fortnightly
761,33,26-35,Male,Gloves,Accessories,$50.00 ,Minnesota,Violet,Fall,3.4,Yes,Free Shipping,Yes,Yes,6,Cash,Annually
762,57,56-65,Male,Jewelry,Accessories,$91.00 ,Nevada,Yellow,Fall,4.2,Yes,Express,Yes,Yes,26,Bank Transfer,Weekly
763,45,36-45,Male,Belt,Accessories,$46.00 ,New Mexico,Pink,Fall,3.9,Yes,Standard,Yes,Yes,43,Debit Card,Fortnightly
764,61,56-65,Male,Sweater,Clothing,$50.00 ,North Carolina,Brown,Spring,2.9,Yes,2-Day Shipping,Yes,Yes,6,Credit Card,Monthly
765,55,46-55,Male,Skirt,Clothing,$39.00 ,Virginia,Silver,Fall,4.2,Yes,Free Shipping,Yes,Yes,6,Debit Card,Quarterly
766,54,46-55,Male,Sneakers,Footwear,$99.00 ,Alaska,Pink,Summer,3,Yes,Store Pickup,Yes,Yes,13,Cash,Quarterly
767,57,56-65,Male,Gloves,Accessories,$48.00 ,Nevada,Cyan,Winter,3.6,Yes,Next Day Air,Yes,Yes,13,PayPal,Monthly
768,27,26-35,Male,Coat,Outerwear,$77.00 ,Pennsylvania,Brown,Fall,2.5,Yes,Next Day Air,Yes,Yes,11,Cash,Annually
769,64,56-65,Male,Backpack,Accessories,$95.00 ,Illinois,Red,Spring,2.6,Yes,Express,Yes,Yes,45,Venmo,Weekly
770,52,46-55,Male,Socks,Clothing,$100.00 ,Delaware,Silver,Spring,4.3,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly
771,19,18-25,Male,Sneakers,Footwear,$54.00 ,Vermont,Gray,Spring,3.3,Yes,Express,Yes,Yes,8,Credit Card,Annually
772,22,18-25,Male,Sweater,Clothing,$68.00 ,Hawaii,Cyan,Fall,2.6,Yes,Next Day Air,Yes,Yes,34,Bank Transfer,Fortnightly
773,18,18-25,Male,Jeans,Clothing,$22.00 ,Illinois,Teal,Fall,3.6,Yes,Free Shipping,Yes,Yes,40,Debit Card,Bi-Weekly
774,29,26-35,Male,Hat,Accessories,$84.00 ,California,Indigo,Winter,2.6,Yes,Express,Yes,Yes,14,Debit Card,Bi-Weekly
775,42,36-45,Male,Hat,Accessories,$46.00 ,Nevada,Yellow,Summer,3.5,Yes,Standard,Yes,Yes,11,Credit Card,Quarterly
776,49,46-55,Male,Handbag,Accessories,$53.00 ,Kentucky,Gold,Winter,3,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly
777,49,46-55,Male,Shirt,Clothing,$60.00 ,Alabama,Maroon,Spring,5,Yes,Standard,Yes,Yes,8,Venmo,Every 3 Months
778,55,46-55,Male,Socks,Clothing,$32.00 ,Wyoming,Silver,Spring,2.5,Yes,Express,Yes,Yes,37,Venmo,Weekly
779,29,26-35,Male,Socks,Clothing,$50.00 ,Massachusetts,Yellow,Summer,2.9,Yes,Store Pickup,Yes,Yes,23,Debit Card,Annually
780,60,56-65,Male,Dress,Clothing,$94.00 ,Utah,Blue,Spring,4.6,Yes,Express,Yes,Yes,38,Cash,Annually
781,34,26-35,Male,Shoes,Footwear,$26.00 ,New York,Turquoise,Spring,3.6,Yes,Free Shipping,Yes,Yes,38,Cash,Quarterly
782,30,26-35,Male,Scarf,Accessories,$44.00 ,Vermont,Indigo,Winter,3,Yes,Store Pickup,Yes,Yes,12,Credit Card,Fortnightly
783,28,26-35,Male,Hoodie,Clothing,$57.00 ,Hawaii,Green,Summer,4.5,Yes,Standard,Yes,Yes,15,Cash,Weekly
784,63,56-65,Male,T-shirt,Clothing,$65.00 ,Louisiana,Purple,Winter,4.5,Yes,Next Day Air,Yes,Yes,38,PayPal,Fortnightly
785,31,26-35,Male,Jeans,Clothing,$72.00 ,Alabama,Peach,Winter,3.2,Yes,Store Pickup,Yes,Yes,41,Bank Transfer,Every 3 Months
786,46,46-55,Male,Shorts,Clothing,$62.00 ,Louisiana,Purple,Spring,4,Yes,Next Day Air,Yes,Yes,37,PayPal,Fortnightly
787,70,65+,Male,Hat,Accessories,$21.00 ,Indiana,Teal,Winter,4.8,Yes,Express,Yes,Yes,16,Bank Transfer,Every 3 Months
788,53,46-55,Male,Handbag,Accessories,$85.00 ,Michigan,Green,Spring,3.7,Yes,Free Shipping,Yes,Yes,25,Venmo,Weekly
789,50,46-55,Male,Pants,Clothing,$51.00 ,Rhode Island,Yellow,Summer,3.8,Yes,Store Pickup,Yes,Yes,18,Bank Transfer,Quarterly
790,33,26-35,Male,Handbag,Accessories,$84.00 ,Idaho,Purple,Fall,2.7,Yes,Standard,Yes,Yes,4,Credit Card,Bi-Weekly
791,22,18-25,Male,Sweater,Clothing,$37.00 ,Louisiana,Indigo,Summer,4.9,Yes,Store Pickup,Yes,Yes,12,Bank Transfer,Quarterly
792,50,46-55,Male,Scarf,Accessories,$44.00 ,North Carolina,Magenta,Summer,3.1,Yes,2-Day Shipping,Yes,Yes,35,PayPal,Fortnightly
793,34,26-35,Male,Sneakers,Footwear,$45.00 ,New Jersey,Violet,Spring,4.2,Yes,Next Day Air,Yes,Yes,45,Venmo,Weekly
794,24,18-25,Male,Pants,Clothing,$35.00 ,Alabama,Maroon,Summer,3.8,Yes,Free Shipping,Yes,Yes,16,Credit Card,Monthly
795,69,65+,Male,Backpack,Accessories,$50.00 ,Kentucky,Yellow,Winter,4.2,Yes,Store Pickup,Yes,Yes,10,Debit Card,Fortnightly
